x,y,ID,typeCode,NumberBeds,MaxTime
442666.4727,4640061.666,57,1,918,1095
448089.4351,4634155.344,65,1,170,1095
448046.1621,4635984.149,64,1,169,1095
445422.7182,4646226.292,38,4,165,120
452661.259,4623156.223,73,1,152,1095
448768.2985,4610605.64,41,4,125,120
442185.8519,4636417.391,1,1,90,1095
445422.7182,4646226.292,34,5,90,120
444644.1051,4620581.142,40,4,90,120
442620.0392,4633586.278,5,4,80,120
444999.8581,4644911.565,28,3,80,105
442623.2775,4633586.363,51,4,80,120
442096.1072,4629512.464,47,4,75,120
444483.2566,4628083.595,8,2,65,120
445636.5767,4647467.694,58,2,65,120
440843.5419,4637767.504,44,4,64,120
445390.4136,4646465.045,23,3,60,90
447058.1237,4613415.318,43,4,60,120
452656.7692,4623156.142,71,1,52,1095
453646.6569,4619153.273,42,4,50,120
443217.8376,4621936.803,46,4,50,120
442180.1798,4641569.247,27,3,42,120
447973.6283,4636460.677,29,3,42,120
445703.4222,4646122.319,9,2,40,120
450472.2904,4625320.602,80,2,40,120
447029.1177,4639968.092,2,1,39,1095
442395.6057,4635983.322,4,5,37,120
446509.8089,4641982.478,50,4,35,120
444259.8947,4652219.748,49,4,32,120
441149.4853,4637542.008,53,5,30,120
444872.8803,4642806.654,54,1,30,1095
452659.0137,4623156.127,72,1,28,1095
444724.4672,4634057.411,30,3,25,90
446846.0597,4614511.971,17,2,24,120
445393.8412,4646242.725,55,4,22,120
442043.9651,4640951.888,68,4,20,720
453472.4752,4620534.937,69,4,20,365
452654.524,4623156.045,70,4,20,120
445093.6676,4646249.594,76,4,18,720
446587.9253,4641718.85,60,2,11,120
447029.0596,4639971.423,35,4,10,120
446846.0597,4614511.971,16,3,8,120
445390.4136,4646465.045,24,4,7,540
444355.3615,4622004.474,52,2,7,120
